21467	5789	5558	10297	20344	21206	23832	16945	1148	12613	
13982	3948	26277	10111	3862	8401	32076	12613	32204	20685	
6204	522	16383	8437	18116	28592	2194	6893	17675	31379	
30724	14472	21412	5832	20642	5936	11618	6823	15099	31369	
3950	30342	11925	25169	1942	6600	21214	14219	31976	10519	
27749	21724	9856	27117	10826	28213	25758	1881	26612	7090	
12284	5120	14081	3010	4958	28002	17795	8329	25450	25694	
29801	31874	10426	20216	12859	17001	28720	26459	28171	3160	
30089	7194	13992	24112	23605	13755	23060	5946	27238	30070	
6456	9998	31336	4410	17367	2484	5680	12529	20673	20234	
